PROVINCIA DEFUNCION;CANTON DEFUNCION;PARROQUIA DEFUNCION;1/1/2020;1/2/2020;1/3/2020;1/4/2020;1/5/2020;1/6/2020;1/7/2020;1/8/2020;1/9/2020
EL ORO;EL GUABO;LA IBERIA;3;2;2;2;4;;1;;1
EL ORO;EL GUABO;RIO BONITO;;;2;3;2;2;2;;
EL ORO;EL GUABO;TENDALES;2;1;1;4;4;;;;
EL ORO;HUAQUILLAS;ECUADOR;2;;1;3;2;3;1;4;5
EL ORO;HUAQUILLAS;EL PARAISO;1;;;4;3;1;1;1;1
EL ORO;HUAQUILLAS;HUALTACO;;1;;1;;3;1;3;1
EL ORO;HUAQUILLAS;HUAQUILLAS;9;4;3;3;1;3;3;2;5
EL ORO;HUAQUILLAS;MILTON REYES;1;;1;4;3;1;2;1;
EL ORO;HUAQUILLAS;UNION LOJANA;6;5;9;29;14;12;15;16;16
EL ORO;LAS LAJAS;EL PARAISO;;;;;1;;;;2
EL ORO;LAS LAJAS;LA LIBERTAD;;;;1;1;;;;
EL ORO;LAS LAJAS;LA VICTORIA;1;;;;;;2;3;
EL ORO;LAS LAJAS;PLATANILLOS;;;;1;;;;;
EL ORO;LAS LAJAS;SAN ISIDRO;1;;;;;;;1;
EL ORO;MACHALA;9 DE MAYO;6;13;11;22;47;75;82;73;58
EL ORO;MACHALA;EL CAMBIO;3;1;4;8;7;5;5;3;1
EL ORO;MACHALA;EL RETIRO;2;1;1;3;2;;1;;
EL ORO;MACHALA;JAMBELI*;;;1;1;2;;;1;
EL ORO;MACHALA;JUBONES*;;;;1;1;1;;;
EL ORO;MACHALA;LA PROVIDENCIA;14;15;26;40;23;25;35;26;15
EL ORO;MACHALA;MACHALA;119;87;113;323;316;144;121;105;94
EL ORO;MACHALA;PUERTO BOLIVAR;7;11;8;36;26;12;8;8;9
EL ORO;MARCABELI;EL INGENIO;1;;1;;;;;;
EL ORO;MARCABELI;MARCABELI;1;1;2;2;;3;1;3;
EL ORO;PASAJE;BOLIVAR;;3;1;1;4;5;2;1;
EL ORO;PASAJE;BUENAVISTA;1;1;;2;3;2;2;2;1
EL ORO;PASAJE;CAÑAQUEMADA;1;1;;;;2;1;;
EL ORO;PASAJE;CASACAY;;;2;1;2;;1;2;3
EL ORO;PASAJE;LA PEAÑA;1;1;1;1;4;1;1;2;1
EL ORO;PASAJE;LOMA DE FRANCO;2;4;2;6;2;3;;1;1
EL ORO;PASAJE;OCHOA LEON;23;4;19;56;53;33;29;27;21
EL ORO;PASAJE;PASAJE;2;2;4;5;7;;4;1;7
EL ORO;PASAJE;PROGRESO;;;1;2;1;1;;;3
EL ORO;PASAJE;TRES CERRITOS;3;;;3;5;2;4;1;
EL ORO;PASAJE;UZHCURRUMI;1;;1;;1;;;;
EL ORO;PIÑAS;CAPIRO;1;;;;;;1;;
EL ORO;PIÑAS;LA BOCANA;;;1;;;;;1;2
EL ORO;PIÑAS;LA MATRIZ;;;1;;;1;;4;3
EL ORO;PIÑAS;LA SUSAYA;1;;1;1;;;2;;
EL ORO;PIÑAS;MOROMORO;;1;;;;1;;;1
EL ORO;PIÑAS;PIEDRAS;;;1;;;;;;
EL ORO;PIÑAS;PIÑAS;17;13;16;18;10;18;11;9;9
EL ORO;PIÑAS;PIÑAS GRANDE;;;1;;1;2;;;
EL ORO;PIÑAS;SAN ROQUE;2;;;;1;;;1;
EL ORO;PIÑAS;SARACAY;1;;1;2;;1;1;;1
EL ORO;PORTOVELO;CURTINCAPA;;;;1;;;;;
EL ORO;PORTOVELO;MORALES;;;;;1;;;;1
EL ORO;PORTOVELO;PORTOVELO;7;3;4;2;1;9;5;5;2
EL ORO;PORTOVELO;SALATI;1;1;2;1;;;2;;1
EL ORO;SANTA ROSA;BELLAMARIA;1;1;;;;1;;;1
EL ORO;SANTA ROSA;BELLAVISTA;1;3;;6;2;2;;2;
EL ORO;SANTA ROSA;JAMBELI;;;;2;;;;1;
EL ORO;SANTA ROSA;JUMON (SATELITE);1;;;;1;;;;
EL ORO;SANTA ROSA;LA AVANZADA;1;;;;1;;1;;
EL ORO;SANTA ROSA;NUEVO SANTA ROSA;;;;1;3;1;1;;
EL ORO;SANTA ROSA;PUERTO JELI;;;1;;;;1;;
EL ORO;SANTA ROSA;SAN ANTONIO;;;;;1;;;;
EL ORO;SANTA ROSA;SANTA ROSA;20;14;29;45;48;22;26;27;26
EL ORO;SANTA ROSA;TORATA;;1;1;;;1;1;2;2
EL ORO;SANTA ROSA;VICTORIA;1;;2;;1;1;;1;
EL ORO;ZARUMA;ABAÑIN;1;;;;;1;1;1;
EL ORO;ZARUMA;ARCAPAMBA;1;;;;1;;1;1;
EL ORO;ZARUMA;GUANAZAN;;;2;;2;3;;1;
EL ORO;ZARUMA;GUIZHAGUIÑA;;;;;;;1;;
EL ORO;ZARUMA;HUERTAS;2;2;;2;1;;;4;2
EL ORO;ZARUMA;MALVAS;;1;;;;1;;;1
EL ORO;ZARUMA;MULUNCAY GRANDE;;;2;;1;1;;;
EL ORO;ZARUMA;SALVIAS;;;;;;;;2;1
EL ORO;ZARUMA;SINSAO;;1;;;1;;1;1;1
EL ORO;ZARUMA;ZARUMA;4;3;5;4;1;3;9;9;5
ESMERALDAS;ATACAMES;ATACAMES;4;6;1;3;7;7;7;5;
ESMERALDAS;ATACAMES;LA UNION;;;;;;1;1;;
ESMERALDAS;ATACAMES;SUA;;;;;1;1;;;
ESMERALDAS;ATACAMES;TONCHIGÜE;1;2;2;;3;7;1;1;2
ESMERALDAS;ATACAMES;TONSUPA;1;4;1;;3;1;2;5;2
ESMERALDAS;ELOY ALFARO;ANCHAYACU;;;1;;;;;;
ESMERALDAS;ELOY ALFARO;ATAHUALPA;1;;;;1;;;;
ESMERALDAS;ELOY ALFARO;BORBON;3;3;2;;2;2;1;3;
ESMERALDAS;ELOY ALFARO;LA TOLA;;;;;1;1;1;2;1
ESMERALDAS;ELOY ALFARO;MALDONADO;;;;;;1;1;1;
ESMERALDAS;ELOY ALFARO;PAMPANAL DE BOLIVAR;1;;;1;;;;;3
ESMERALDAS;ELOY ALFARO;SAN FRANCISCO DE ONZOLE;1;;;;1;;;;
ESMERALDAS;ELOY ALFARO;SAN JOSE DE CAYAPAS;1;;;;;;;;
ESMERALDAS;ELOY ALFARO;SANTA LUCIA DE LAS PEÑAS;;;1;;1;1;1;;1
ESMERALDAS;ELOY ALFARO;SANTO DOMINGO DE ONZOLE;;;;1;;;;1;
ESMERALDAS;ELOY ALFARO;VALDEZ (LIMONES);1;;;3;4;2;1;1;
ESMERALDAS;ESMERALDAS;5 DE AGOSTO;8;8;10;6;14;13;9;11;6
ESMERALDAS;ESMERALDAS;BARTOLOME RUIZ;2;6;4;4;12;5;7;2;6
ESMERALDAS;ESMERALDAS;CAMARONES;;2;;;;1;2;;1
ESMERALDAS;ESMERALDAS;CHINCA;6;1;;1;1;;2;1;
ESMERALDAS;ESMERALDAS;CRNEL. CARLOS CONCHA TORRES;;;;;1;1;1;;
ESMERALDAS;ESMERALDAS;ESMERALDAS;27;28;25;72;84;51;42;30;17
ESMERALDAS;ESMERALDAS;LUIS TELLO;3;1;1;7;8;5;4;3;1
ESMERALDAS;ESMERALDAS;QUININDE*;;;;;1;;;;
ESMERALDAS;ESMERALDAS;SAN MATEO;;1;3;2;;2;2;1;1
ESMERALDAS;ESMERALDAS;SIMON PLATA TORRES;26;40;38;53;104;86;63;38;28
ESMERALDAS;ESMERALDAS;TABIAZO;;;1;6;3;3;1;;
ESMERALDAS;ESMERALDAS;TACHINA;2;2;1;1;;5;1;2;1
ESMERALDAS;ESMERALDAS;VUELTA LARGA;3;3;1;3;3;7;1;1;2
ESMERALDAS;MUISNE;BOLIVAR;;;;;2;;1;;
ESMERALDAS;MUISNE;GALERA;;1;1;;2;1;;;
ESMERALDAS;MUISNE;MUISNE;1;2;1;1;3;3;5;2;
ESMERALDAS;MUISNE;SALIMA;;;;;;;;1;
ESMERALDAS;MUISNE;SAN FRANCISCO;1;;;;;3;2;;1
ESMERALDAS;MUISNE;SAN GREGORIO;;2;;;1;1;1;;
ESMERALDAS;MUISNE;SAN JOSE DE CHAMANGA;1;;1;;;;2;;1
ESMERALDAS;QUININDE;CHURA;;2;;;;1;;1;
ESMERALDAS;QUININDE;CUBE;1;2;;;;1;2;3;
ESMERALDAS;QUININDE;LA UNION;1;4;4;8;5;11;7;8;4
ESMERALDAS;QUININDE;MALIMPIA;6;;1;;;2;4;2;1
ESMERALDAS;QUININDE;ROSA ZARATE;17;14;8;16;21;25;22;11;11
ESMERALDAS;QUININDE;VICHE;;2;2;2;3;1;4;1;
ESMERALDAS;RIO VERDE;CHONTADURO;;;1;;;1;;;
ESMERALDAS;RIO VERDE;CHUMUNDE;;1;;;1;1;1;;
ESMERALDAS;RIO VERDE;LAGARTO;2;;;1;;1;1;2;2
ESMERALDAS;RIO VERDE;MONTALVO;2;3;;1;;;;1;2
ESMERALDAS;RIO VERDE;RIO VERDE;1;2;;;2;1;3;3;1
ESMERALDAS;RIO VERDE;ROCAFUERTE;;;;1;2;1;1;1;
ESMERALDAS;SAN LORENZO;ANCON (PALMA REAL);;;;1;;;;;
ESMERALDAS;SAN LORENZO;CARONDELET;1;;;;1;;;;
ESMERALDAS;SAN LORENZO;CONCEPCION;;;;;;2;1;1;
ESMERALDAS;SAN LORENZO;MATAJE;;;;1;;;1;;
ESMERALDAS;SAN LORENZO;SAN JAVIER DE CACHAVI;1;1;;;;1;;;
ESMERALDAS;SAN LORENZO;SAN LORENZO;7;7;3;6;11;11;15;6;9
ESMERALDAS;SAN LORENZO;SANTA RITA;;1;;;;;;;
ESMERALDAS;SAN LORENZO;TULULBI;;;;;;1;;;
ESMERALDAS;SAN LORENZO;URBINA;;;;;;1;;;
GUAYAS;ALFREDO BAQUERIZO MORENO (JUJAN);ALFREDO BAQUERIZO MORENO (JUJAN);1;11;7;41;12;7;8;5;7
GUAYAS;BALAO;BALAO;8;5;4;41;13;3;6;4;4
GUAYAS;BALZAR;BALZAR;23;15;35;85;27;22;35;25;3
GUAYAS;COLIMES;COLIMES;7;3;12;19;10;9;13;5;2
GUAYAS;COLIMES;SAN JACINTO;;1;;4;2;1;3;4;
GUAYAS;CORONEL MARCELINO MARIDUEÑA;CRNEL. MARCELINO MARIDUEÑA;1;2;6;13;3;6;3;2;5
GUAYAS;DAULE;BANIFE;5;2;6;21;4;3;3;2;3
GUAYAS;DAULE;DAULE;30;31;119;230;25;31;32;30;20
GUAYAS;DAULE;EL LAUREL;4;5;24;17;4;4;3;5;4
GUAYAS;DAULE;EMILIANO CAICEDO MARCOS;1;;;;;;;;
GUAYAS;DAULE;JUAN BAUTISTA AGUIRRE;4;3;3;15;3;3;2;7;2
GUAYAS;DAULE;LA AURORA;8;6;24;65;13;3;8;11;9
GUAYAS;DAULE;LIMONAL;5;3;2;22;1;2;5;3;3
GUAYAS;DAULE;LOS LOJAS;;3;6;22;4;3;3;3;1
GUAYAS;DAULE;MAGRO;;1;;2;1;;;;
GUAYAS;DAULE;VICENTE PIEDRAHITA;;;;1;;;;;
GUAYAS;DURAN;DIVINO NIÑO;1;2;1;4;1;1;;2;3
GUAYAS;DURAN;EL RECREO;7;9;34;72;11;6;7;6;6
GUAYAS;DURAN;ELOY ALFARO DURAN;41;32;168;476;74;47;37;29;41
GUAYAS;EL EMPALME;EL ROSARIO;;2;2;2;2;2;3;4;3
GUAYAS;EL EMPALME;GUAYAS (PUEBLO NUEVO);1;1;3;;2;1;3;2;1
GUAYAS;EL EMPALME;VELASCO IBARRA;18;20;26;45;39;24;26;22;18
GUAYAS;EL TRIUNFO;EL TRIUNFO;21;12;22;71;15;13;18;24;7
GUAYAS;GENERAL ANTONIO ELIZALDE;GENERAL ANTONIO ELIZALDE (BUCAY);3;4;4;12;10;4;3;1;1
GUAYAS;GENERAL VILLAMIL (PLAYAS);GENERAL VILLAMIL (PLAYAS);16;18;31;146;26;15;6;19;16
GUAYAS;GUAYAQUIL;9 DE OCTUBRE;2;2;8;17;4;;2;4;1
GUAYAS;GUAYAQUIL;AYACUCHO;40;25;72;67;36;37;26;24;20
GUAYAS;GUAYAQUIL;BOLIVAR (SAGRARIO);3;2;14;22;4;4;4;4;5
GUAYAS;GUAYAQUIL;CARBO (CONCEPCION);38;34;72;138;42;25;39;32;27
GUAYAS;GUAYAQUIL;CHONGON;3;6;6;35;12;5;4;5;4
GUAYAS;GUAYAQUIL;ELOY ALFARO DURAN*;2;;;1;1;;1;;
GUAYAS;GUAYAQUIL;FEBRES CORDERO;261;231;815;1674;308;286;299;323;237
GUAYAS;GUAYAQUIL;GARCIA MORENO;7;11;52;141;17;13;11;6;9
GUAYAS;GUAYAQUIL;GENERAL VILLAMIL (PLAYAS)*;1;;;;;;;;
GUAYAS;GUAYAQUIL;JUAN GOMEZ RENDON (PROGRESO);1;6;3;43;8;6;6;6;3
GUAYAS;GUAYAQUIL;LETAMENDI;33;30;114;347;33;20;21;29;28
GUAYAS;GUAYAQUIL;MORRO;;1;2;17;4;;2;1;
GUAYAS;GUAYAQUIL;OLMEDO (SAN ALEJO);1;2;4;11;1;;4;4;
GUAYAS;GUAYAQUIL;PASCUALES;28;23;127;392;51;25;28;46;29
GUAYAS;GUAYAQUIL;POSORJA;7;7;11;96;18;6;5;8;7
GUAYAS;GUAYAQUIL;PUNA;1;;1;2;2;;2;1;1
GUAYAS;GUAYAQUIL;ROCA;2;3;7;35;3;1;1;;3
GUAYAS;GUAYAQUIL;ROCAFUERTE;1;3;36;39;5;;;2;
GUAYAS;GUAYAQUIL;SAMBORONDON*;;;1;;;;;;
GUAYAS;GUAYAQUIL;SUCRE;17;12;25;89;20;13;21;21;9
GUAYAS;GUAYAQUIL;TARQUI;644;570;1709;3683;777;588;704;691;567
GUAYAS;GUAYAQUIL;TENGUEL;2;4;2;25;19;6;5;1;1
GUAYAS;GUAYAQUIL;URDANETA;10;8;26;61;6;3;3;10;4
GUAYAS;GUAYAQUIL;XIMENA;376;313;1122;2577;525;364;339;379;301
GUAYAS;ISIDRO AYORA;ISIDRO AYORA;6;7;10;38;6;3;3;2;4
GUAYAS;LOMAS DE SARGENTILLO;LOMAS DE SARGENTILLO;7;6;26;84;12;6;10;4;4
GUAYAS;MILAGRO;CAMILO ANDRADE;;;2;1;1;;;2;
GUAYAS;MILAGRO;CHIRIJOS;;;;1;;;;;
GUAYAS;MILAGRO;CHOBO;1;;1;1;;;;;
GUAYAS;MILAGRO;CORONEL ENRIQUE VALDEZ;;;;1;;;;;
GUAYAS;MILAGRO;ELOY ALFARO;;;;;;;1;;
GUAYAS;MILAGRO;ERNESTO SEMINARIO;;;;1;2;;;;
GUAYAS;MILAGRO;LAS PIÑAS;;;1;1;1;;;;
GUAYAS;MILAGRO;MARISCAL SUCRE;1;1;2;10;2;;2;2;
GUAYAS;MILAGRO;MILAGRO;93;81;237;465;132;67;96;97;79
GUAYAS;MILAGRO;ROBERTO ASTUDILLO;2;2;2;8;2;;;2;
GUAYAS;NARANJAL;JESUS MARIA;;1;4;6;1;;2;2;1
GUAYAS;NARANJAL;NARANJAL;23;10;12;55;24;6;10;15;8
GUAYAS;NARANJAL;SAN CARLOS;5;1;;2;1;;2;2;
GUAYAS;NARANJAL;SANTA ROSA DE FLANDES;5;2;1;5;1;1;5;1;
GUAYAS;NARANJAL;TAURA;4;7;1;6;6;5;4;1;1
GUAYAS;NARANJITO;NARANJITO;19;10;12;69;24;13;24;17;14
GUAYAS;NOBOL;NARCISA DE JESUS;4;7;24;52;5;6;9;7;6
GUAYAS;PALESTINA;PALESTINA;6;7;7;21;8;4;7;2;
GUAYAS;PEDRO CARBO;PEDRO CARBO;11;8;46;134;40;16;17;15;8
GUAYAS;PEDRO CARBO;SABANILLA;2;3;2;10;3;;1;2;
GUAYAS;PEDRO CARBO;VALLE DE LA VIRGEN;1;;3;7;1;1;1;4;2
GUAYAS;SALITRE;GRAL. VERNAZA (DOS ESTEROS);7;1;6;23;10;2;3;2;4
GUAYAS;SALITRE;JUNQUILLAL;1;1;12;8;6;3;4;4;3
GUAYAS;SALITRE;LA VICTORIA (ÑAUZA);1;;2;4;;1;2;2;
GUAYAS;SALITRE;SALITRE;18;13;24;58;23;14;9;5;6
GUAYAS;SAMBORONDON;LA PUNTILLA(SATELITE);13;4;13;39;8;8;6;3;5
GUAYAS;SAMBORONDON;SAMBORONDON;10;14;22;66;13;10;11;12;8
GUAYAS;SAMBORONDON;TARIFA;2;8;9;43;8;4;7;6;5
GUAYAS;SANTA LUCIA;SANTA LUCIA;15;16;91;129;35;19;18;14;11
GUAYAS;SIMON BOLIVAR;CRNEL. LORENZO DE GARAICOA;1;2;4;13;3;1;1;4;
GUAYAS;SIMON BOLIVAR;SIMON BOLIVAR;5;1;1;20;8;9;7;2;1
GUAYAS;YAGUACHI;GRAL. PEDRO J. MONTERO;1;2;4;9;5;1;1;1;
GUAYAS;YAGUACHI;MILAGRO*;;;;;1;;;;
GUAYAS;YAGUACHI;SAN JACINTO DE YAGUACHI;9;3;12;42;19;9;12;5;7
GUAYAS;YAGUACHI;VIRGEN DE FATIMA;;5;3;14;8;11;3;3;4
GUAYAS;YAGUACHI;YAGUACHI VIEJO (CONE);1;;7;15;;3;2;5;
IMBABURA;ANTONIO ANTE;ANDRADE MARIN (LOURDES);1;3;2;1;2;4;3;3;
IMBABURA;ANTONIO ANTE;ATUNTAQUI;5;5;5;8;5;8;8;11;3
IMBABURA;ANTONIO ANTE;IMBAYA;;;;;1;;1;;2
IMBABURA;ANTONIO ANTE;SAN FRANCISCO DE NATABUELA;1;;;1;2;3;3;4;2
IMBABURA;ANTONIO ANTE;SAN JOSE DE CHALTURA;;2;;;1;;1;1;
IMBABURA;ANTONIO ANTE;SAN ROQUE;1;2;1;3;;4;3;9;5
IMBABURA;COTACACHI;APUELA;3;1;1;;;;2;1;
IMBABURA;COTACACHI;COTACACHI;;;;1;;;;;
IMBABURA;COTACACHI;CUELLAJE;;;;;2;1;;;
IMBABURA;COTACACHI;GARCIA MORENO;1;2;1;1;1;2;2;5;2
IMBABURA;COTACACHI;IMANTAG;3;1;;1;2;2;1;3;3
IMBABURA;COTACACHI;PEÑAHERRERA;;;;;1;;;;1
IMBABURA;COTACACHI;PLAZA GUTIERREZ;;;;1;;;;;
IMBABURA;COTACACHI;QUIROGA;1;1;2;2;2;2;5;7;1
IMBABURA;COTACACHI;SAGRARIO;7;3;3;2;1;3;12;8;5
IMBABURA;COTACACHI;SAN FRANCISCO;3;4;;2;1;4;5;5;2
IMBABURA;COTACACHI;VACAS GALINDO;;;;;;1;;1;
IMBABURA;IBARRA;AMBUQUI;4;1;2;1;1;1;;1;2
IMBABURA;IBARRA;ANGOCHAGUA;;;1;5;1;2;3;1;1
IMBABURA;IBARRA;CARANQUI;11;5;4;5;9;11;4;14;5
IMBABURA;IBARRA;GUAYAQUIL DE ALPACHACA;25;20;22;11;24;25;23;62;26
IMBABURA;IBARRA;LA CAROLINA;1;1;;;;;;;
IMBABURA;IBARRA;LA DOLOROSA DEL PRIORATO;3;1;1;;2;4;6;3;
IMBABURA;IBARRA;LA ESPERANZA;1;3;1;2;1;2;1;4;4
IMBABURA;IBARRA;LITA;;1;;1;1;2;1;2;
IMBABURA;IBARRA;SAGRARIO;41;38;41;38;42;66;86;86;66
IMBABURA;IBARRA;SALINAS;;2;1;;2;1;;;1
IMBABURA;IBARRA;SAN ANTONIO;3;2;2;6;11;8;13;18;2
IMBABURA;IBARRA;SAN FRANCISCO;15;14;12;16;12;19;23;31;20
IMBABURA;IBARRA;SAN MIGUEL DE IBARRA CAB;;;4;9;5;1;29;9;4
IMBABURA;OTAVALO;DR. MIGUEL EGAS CABEZAS;4;3;2;6;3;8;10;2;4
IMBABURA;OTAVALO;EUGENIO ESPEJO;4;5;;7;5;3;5;2;5
IMBABURA;OTAVALO;GONZALEZ SUAREZ;;;;2;;3;6;1;4
IMBABURA;OTAVALO;JORDAN;15;8;9;12;12;10;36;34;21
IMBABURA;OTAVALO;OTAVALO;1;1;1;2;;6;2;;1
IMBABURA;OTAVALO;PATAQUI;;;;1;;1;;1;
IMBABURA;OTAVALO;SAN JOSE DE QUICHINCHE;4;5;3;1;3;4;6;3;2
IMBABURA;OTAVALO;SAN JUAN DE ILUMAN;5;3;;2;2;5;2;7;
IMBABURA;OTAVALO;SAN LUIS;5;4;8;6;4;5;7;19;8
IMBABURA;OTAVALO;SAN PABLO;3;2;4;5;5;3;4;4;6
IMBABURA;OTAVALO;SAN RAFAEL;3;3;2;;1;1;1;;4
IMBABURA;OTAVALO;SELVA ALEGRE;2;;;1;;;1;3;
IMBABURA;PIMAMPIRO;CHUGA;;;;;1;2;;1;
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;1;;1;2;;1;;;
IMBABURA;PIMAMPIRO;PIMAMPIRO;4;4;3;3;3;4;3;7;6
IMBABURA;PIMAMPIRO;SAN FRANCISCO DE SIGSIPAMBA;1;;;;1;;;1;
IMBABURA;SAN MIGUEL DE URCUQUI;CAHUASQUI;;;1;2;1;;;1;
IMBABURA;SAN MIGUEL DE URCUQUI;LA MERCED DE BUENOS AIRES;;;;;1;2;;;
IMBABURA;SAN MIGUEL DE URCUQUI;PABLO ARENAS;2;;;;;1;;3;
IMBABURA;SAN MIGUEL DE URCUQUI;SAN BLAS;1;3;;1;;1;;2;2
IMBABURA;SAN MIGUEL DE URCUQUI;TUMBABIRO;;;1;;1;;1;;
IMBABURA;SAN MIGUEL DE URCUQUI;URCUQUI;;1;;2;;;1;2;1
LOJA;CALVAS;CARIAMANGA;5;8;8;2;9;7;6;18;5
LOJA;CALVAS;CHILE;4;3;2;5;6;2;2;5;3
LOJA;CALVAS;COLAISACA;;1;2;2;1;4;2;1;
LOJA;CALVAS;EL LUCERO;1;1;4;;2;4;1;1;
LOJA;CALVAS;SAN VICENTE;;2;1;;1;2;;2;3
LOJA;CALVAS;SANGUILLIN;;;;;;2;;;1
LOJA;CALVAS;UTUANA;;;;;1;;;2;1
LOJA;CATAMAYO;CATAMAYO;3;3;4;11;10;8;14;16;6
LOJA;CATAMAYO;EL TAMBO;1;1;;;;1;2;1;2
LOJA;CATAMAYO;GUAYQUICHUMA;;;;;1;1;1;;
LOJA;CATAMAYO;SAN JOSE;1;;2;1;;;3;2;1
LOJA;CATAMAYO;SAN PEDRO DE LA BENDITA;;;;1;1;1;1;;1
LOJA;CATAMAYO;ZAMBI;;2;1;;;1;;;
LOJA;CELICA;CELICA;2;3;;1;5;2;2;2;1
LOJA;CELICA;CRUZPAMBA;;;;;;1;;2;
LOJA;CELICA;POZUL;;;;2;;2;2;1;
LOJA;CELICA;SABANILLA;;;;;2;1;;2;
LOJA;CELICA;TNTE. MAXIMILIANO RODRIGUEZ LOAIZA;;;;;;;1;;
LOJA;CHAGUARPAMBA;BUENAVISTA;2;;;1;;1;1;;
LOJA;CHAGUARPAMBA;CHAGUARPAMBA;6;1;2;2;2;2;4;3;2
LOJA;CHAGUARPAMBA;EL ROSARIO;;;;;;1;;;
LOJA;CHAGUARPAMBA;SANTA RUFINA;;;;1;1;;;1;1
LOJA;ESPINDOLA;27 DE ABRIL;;;1;;;;;;1
LOJA;ESPINDOLA;AMALUZA;1;2;1;;2;1;;4;
LOJA;ESPINDOLA;BELLAVISTA;1;;1;1;;;1;2;
LOJA;ESPINDOLA;EL AIRO;;;;;1;1;1;1;
LOJA;ESPINDOLA;EL INGENIO;1;3;1;;;2;;;
LOJA;ESPINDOLA;JIMBURA;;;;;;1;;;
LOJA;ESPINDOLA;SANTA TERESITA;3;1;;2;;1;;1;
LOJA;GONZANAMA;CHANGAIMINA;;1;2;;1;;;1;1
LOJA;GONZANAMA;GONZANAMA;;1;2;;;;3;3;
LOJA;GONZANAMA;NAMBACOLA;;2;1;2;4;2;1;6;2
LOJA;GONZANAMA;PURUNUMA;1;;;;;2;1;1;
LOJA;GONZANAMA;SACAPALCA;1;;;2;1;3;1;3;
LOJA;LOJA;CARIGAN;6;4;2;5;2;6;11;11;4
LOJA;LOJA;CHANTACO;1;;1;1;1;;;;2
LOJA;LOJA;CHUQUIRIBAMBA;1;;2;1;1;3;1;3;
LOJA;LOJA;EL CISNE;;1;;2;1;1;1;;1
LOJA;LOJA;EL SAGRARIO;8;4;7;4;6;14;15;11;10
LOJA;LOJA;EL VALLE;47;39;36;41;39;37;58;66;40
LOJA;LOJA;GUALEL;1;;2;1;2;2;6;2;1
LOJA;LOJA;JIMBILLA;1;;;;;;;1;
LOJA;LOJA;MALACATOS;1;5;5;2;2;6;3;10;6
LOJA;LOJA;PUNZARA;2;3;1;4;7;9;10;3;2
LOJA;LOJA;QUINARA;;1;;1;1;;;3;1
LOJA;LOJA;SAN LUCAS;4;2;2;;1;1;1;4;3
LOJA;LOJA;SAN PEDRO DE VILCABAMBA;2;;;1;1;1;2;;
LOJA;LOJA;SAN SEBASTIAN;11;6;9;7;10;12;16;12;8
LOJA;LOJA;SANTIAGO;;;;;1;1;1;2;1
LOJA;LOJA;SUCRE;42;32;39;29;43;41;84;85;46
LOJA;LOJA;TAQUIL;1;1;2;1;;;;2;1
LOJA;LOJA;VILCABAMBA;2;4;;3;3;1;4;3;
LOJA;LOJA;VILCABAMBA ;;;;1;;;1;;
LOJA;LOJA;YANGANA;;1;;1;1;1;;;
LOJA;MACARA;GRAL ELOY ALFARO;2;;;;2;1;1;;
LOJA;MACARA;LA VICTORIA;;;;;1;2;;;
LOJA;MACARA;LARAMA;;;;;;1;;;
LOJA;MACARA;MACARA;7;1;3;6;8;5;12;5;5
LOJA;MACARA;SABIANGO;;;;;2;;;;1
LOJA;OLMEDO;LA TINGUE;1;;;;;;1;2;1
LOJA;OLMEDO;OLMEDO;;1;1;;2;2;1;3;4
LOJA;PALTAS;CANGONAMA;;;1;;;;2;;
LOJA;PALTAS;CASANGA;1;1;2;;1;;3;1;
LOJA;PALTAS;CATACOCHA;3;6;1;4;1;2;7;;1
LOJA;PALTAS;GUACHANAMA;;;1;2;;1;1;3;
LOJA;PALTAS;LAURO GUERRERO;2;;1;1;;;;2;
LOJA;PALTAS;LOURDES;1;3;1;10;2;8;8;8;3
LOJA;PALTAS;ORIANGA;;;1;;1;;;1;
LOJA;PALTAS;SAN ANTONIO;;1;;1;;;;;1
LOJA;PALTAS;YAMANA;1;;;;1;1;;1;
LOJA;PINDAL;12 DE DICIEMBRE;;;1;;;;;;
LOJA;PINDAL;CHAQUINAL;;;1;;2;2;;;
LOJA;PINDAL;MILAGROS;2;;1;1;4;;1;3;
LOJA;PINDAL;PINDAL;3;1;1;;;2;1;3;
LOJA;PUYANGO;ALAMOR;6;1;1;7;5;2;5;10;2
LOJA;PUYANGO;CIANO;1;;1;;1;;;;1
LOJA;PUYANGO;EL ARENAL;;;;;;;;3;
LOJA;PUYANGO;EL LIMO;;1;1;;;1;1;;
LOJA;PUYANGO;MERCADILLO;;;1;;;;;1;1
LOJA;PUYANGO;VICENTINO;;;2;;1;;1;1;
LOJA;QUILANGA;FUNDOCHAMBA;;1;;1;;;;;
LOJA;QUILANGA;QUILANGA;1;1;1;;;;1;3;
LOJA;QUILANGA;SAN ANTONIO DE LAS ARADAS;1;;1;;;;;1;
LOJA;SARAGURO;EL PARAISO DE CELEN;;;;2;5;2;2;2;1
LOJA;SARAGURO;EL TABLON;;;1;;1;;2;2;1
LOJA;SARAGURO;LLUZHAPA;;;;1;;;;2;
LOJA;SARAGURO;MANU;2;;2;;;2;;1;
LOJA;SARAGURO;SAN ANTONIO DE QUMBE (CUMBE);2;1;;1;1;;1;;1
LOJA;SARAGURO;SAN PABLO DE TENTA;;1;;;2;2;1;3;2
